x,y,state_label
-0.662254,0.3028409,6
-0.6067433,0.27887794,6
-0.61352867,0.29199386,6
-0.6547647,0.29041153,6
-0.594191,0.28361183,6
-0.62225515,0.29279786,6
-0.56910455,0.32519293,6
-0.65864164,0.30647412,6
-0.5916609,0.23050153,6
-0.650179,0.3250537,6
-0.6802647,0.3427575,6
-0.63866705,0.3444138,6
-0.64076024,0.32994375,6
-0.6414106,0.3000293,6
-0.6379157,0.38777676,6
-0.74090725,0.45134947,6
-0.573794,0.37061942,6
-0.5942225,0.30869627,6
-0.6180997,0.37680852,6
-0.68638164,0.30602404,6
-0.54100055,0.40388784,6
-0.5750509,0.31976736,6
-0.61636555,0.32177097,6
-0.6476508,0.2816086,6
-0.5716659,0.35810977,6
-0.70983046,0.461059,6
-0.6635967,0.30592215,6
-0.53359485,0.32431513,6
-0.5717978,0.27174932,6
-0.56132615,0.35494474,6
-0.5276061,0.38609034,6
-0.49243844,0.3897504,6
-0.57484835,0.33195102,6
-0.55747306,0.30452034,6
-0.5439967,0.2635898,6
-0.544605,0.27011696,6
-0.5461636,0.29109043,6
-0.56580395,0.32205474,6
-0.56903005,0.23760223,6
-0.5953857,0.26693663,6
-0.6098213,0.25940567,6
-0.64057934,0.28392616,6
-0.64644206,0.25460634,6
-0.6177086,0.24075381,6
-0.59734523,0.22770378,6
-0.60213923,0.18674476,6
-0.5679573,0.24578324,6
-0.6773263,0.28030947,6
-0.6567351,0.29174492,6
-0.5797391,0.20800242,6
-0.63692343,0.22350116,6
-0.6351048,0.2848681,6
-0.59047514,0.17474887,6
-0.61942536,0.21172436,6
-0.58404446,0.17995971,6
-0.66033113,0.23170161,6
-0.66043395,0.22728562,6
-0.6356431,0.24397048,6
-0.67232496,0.27184743,6
-0.67893654,0.24516653,6
-0.705247,0.2510336,6
-0.678779,0.2472844,6
-0.65718085,0.23610975,6
-0.6612457,0.21949437,6
-0.70676607,0.2707534,6
-0.6398392,0.27201286,6
-0.6531481,0.19397397,6
-0.68645775,0.231617,6
-0.6869806,0.20785011,6
-0.67693913,0.20901902,6
-0.7173356,0.2698732,6
-0.68686336,0.2209939,6
-0.7222451,0.22329189,6
-0.6605127,0.2356449,6
-0.645234,0.23072095,6
-0.6850147,0.22149886,6
-0.749712,0.26800343,6
-0.6981724,0.23203632,6
-0.67426306,0.24220163,6
-0.6806561,0.27047846,6
-0.69112056,0.2837985,6
-0.6790404,0.2292838,6
-0.74175626,0.2803325,6
-0.70475316,0.2647996,6
-0.68702745,0.2739984,6
-0.73530674,0.26956582,6
-0.61242545,0.22918819,6
-0.6764194,0.24733172,6
-0.7090375,0.27491432,6
-0.67583823,0.26196674,6
-0.65022093,0.2507275,6
-0.65543604,0.22359467,6
-0.67441285,0.2469734,6
-0.69899654,0.28469053,6
-0.75926673,0.27947423,6
-0.72058636,0.2723114,6
-0.624678,0.18907793,6
-0.66470134,0.16683918,6
-0.660726,0.27536157,6
-0.7010181,0.22396,6
-0.73691773,0.25934672,6
-0.71801096,0.27757043,6
-0.6812647,0.26902664,6
-0.7230453,0.26824254,6
-0.71914375,0.3053512,6
-0.74433297,0.30807167,6
-0.7187656,0.3137989,6
-0.75793916,0.28932986,6
-0.6826103,0.21827553,6
-0.76227987,0.29361612,6
-0.707392,0.30736023,6
-0.7737441,0.33195806,6
-0.73018587,0.2645265,6
-0.752227,0.29573247,6
-0.75281197,0.32347733,6
-0.70523447,0.2857271,6
-0.69510645,0.3201636,6
-0.63940644,0.26038575,6
-0.73404694,0.30472752,6
-0.73348486,0.3533292,6
-0.7602729,0.30698845,6
-0.73471975,0.33217868,6
-0.7482768,0.3416901,6
-0.74105555,0.34699577,6
-0.7569582,0.3221323,6
-0.6890617,0.33280665,6
-0.7122795,0.32745627,6
-0.6892567,0.2674457,6
-0.6820662,0.28105402,6
-0.69994694,0.3320451,6
-0.7199791,0.3030626,6
-0.69834286,0.32828486,6
-0.6380358,0.28801176,6
-0.6942079,0.2731959,6
-0.7640242,0.33581418,6
-0.7042761,0.29664317,6
-0.7479601,0.295447,6
-0.72680986,0.28721243,6
-0.7964486,0.28805768,6
-0.7196684,0.25295246,6
-0.67195755,0.28370854,6
-0.6928248,0.27536023,6
-0.663204,0.23925628,6
-0.7213471,0.28732574,6
-0.7121699,0.30710462,6
-0.68597245,0.29518124,6
-0.70905894,0.29443178,6
-0.64478153,0.38556546,6
-0.65223044,0.29503804,6
-0.67443705,0.2702606,6
-0.7012235,0.32789847,6
-0.71158826,0.3133027,6
-0.6878375,0.23622754,6
-0.72384447,0.32842126,6
-0.73283327,0.24563475,6
-0.7117299,0.2620007,6
-0.73282796,0.3208445,6
-0.70935947,0.21868539,6
-0.7713358,0.33786708,6
-0.696273,0.28519413,6
-0.7177551,0.27945983,6
-0.7500272,0.28248298,6
-0.72182244,0.29872712,6
-0.78940743,0.27726173,6
-0.7190749,0.28976825,6
-0.7737294,0.27053055,6
-0.8583342,0.35603213,6
-0.71419936,0.26836133,6
-0.77799106,0.3094653,6
-0.8207443,0.31307793,6
-0.7982922,0.29623175,6
-0.7852517,0.27817905,6
-0.8429365,0.2562822,6
-0.785642,0.25862113,6
-0.937784,0.35929894,6
-0.8651562,0.30867606,6
-0.93960077,0.29990867,6
-0.902992,0.3179968,6
-0.9492732,0.3480178,6
-1.0638072,0.40972522,6
-1.1235723,0.39024812,6
-1.0842918,0.38989374,6
-1.22174,0.4171252,6
-1.2927532,0.46485573,6
-1.4392259,0.5647635,6
-1.7436489,0.6550866,6
-1.8848718,0.77823216,6
-2.0369325,0.87091845,6
-2.2914073,1.0188446,6
-2.6142728,1.2448891,6
-2.6877313,1.3054599,6
-2.7632391,1.3128895,6
-2.7692962,1.3688834,6
-2.7760224,1.3682017,6
-2.7665558,1.4393374,6
-2.835477,1.3731124,6
-2.7866893,1.3484722,6
-2.8643541,1.4072447,6
-2.9061718,1.4278516,6
-2.825058,1.388995,6
-2.756825,1.3838402,6
-2.9370441,1.4534042,6
-2.8967853,1.4350586,6
-2.9174635,1.3844956,6
-2.8113449,1.360665,6
-2.8530357,1.3521869,6
-2.9129386,1.3969656,6
-2.7689717,1.3196658,6
-2.896614,1.4185864,6
-2.8706565,1.4269572,6
-2.857986,1.342967,6
-2.9465232,1.4080576,6
-2.9929552,1.4313171,6
-2.9211257,1.437738,6
-2.791736,1.4495299,6
-2.8490114,1.42498,6
-2.9825811,1.4948092,6
-2.9645934,1.4976956,6
-2.9059582,1.483623,6
-2.9181194,1.43179,6
-2.950048,1.4606607,6
-2.870838,1.4757416,6
-2.8936217,1.4855107,6
-2.8890762,1.4474636,6
-2.9005702,1.4502196,6
-2.9641106,1.4517738,6
-2.9646325,1.4749122,6
-2.9383802,1.4823045,6
-2.9910975,1.5136502,6
-3.033956,1.4623485,6
-2.9877079,1.4543215,6
-2.918292,1.4449224,6
-2.9511254,1.4410332,6
-2.9831557,1.4829699,6
-3.0428948,1.5320195,6
-2.919348,1.4319812,6
-2.949876,1.5040736,6
-3.013962,1.4913032,6
-3.1338158,1.5510031,6
-3.1119452,1.5253003,6
-3.1252644,1.5280366,6
-3.1270304,1.5296508,6
-3.1125922,1.547249,6
-3.0561364,1.5226839,6
-3.1337442,1.5569358,6
-3.1922174,1.5819489,6
-3.12421,1.626439,6
-3.1773727,1.5811834,6
-3.1663048,1.5708585,6
-3.139362,1.5531086,6
-3.0798779,1.6241149,6
-3.1406093,1.5798603,6
-3.139626,1.6318688,6
-3.1504238,1.6199147,6
-3.2081957,1.6242465,6
-3.1165123,1.540782,6
-3.1271408,1.6437827,6
-3.2172873,1.6459434,6
-3.1274564,1.6056532,6
-3.17161,1.6378324,6
-3.2113626,1.6625814,6
-3.2005506,1.6245733,6
-3.1967335,1.6050334,6
-3.1629064,1.6520144,6
-3.161457,1.6279172,6
-3.3018236,1.7403988,6
-3.23716,1.7404976,6
-3.3022904,1.6440929,6
-3.342667,1.7484528,6
-3.303603,1.6953108,6
-3.2538161,1.7458055,6
-3.288726,1.702364,6
-3.310543,1.7780942,6
-3.341028,1.6725944,6
-3.457218,1.7605647,6
-3.4669394,1.7960949,6
-3.4230068,1.7434007,6
-3.499327,1.841477,6
-3.4888067,1.8083612,6
-3.4625952,1.7818407,6
-3.5560384,1.8485535,6
-3.4456947,1.8166466,6
-3.5189974,1.7529359,6
-3.4737,1.7904023,6
-3.464098,1.7746549,6
-3.5494468,1.7844484,6
-3.4887466,1.7650541,6
-3.5492623,1.779075,6
-3.5289438,1.8284925,6
-3.6243503,1.9503427,6
-3.4620647,1.7662088,6
-3.4889765,1.8804919,6
-3.5444822,1.8418803,6
-3.6286407,1.8707309,6
-3.497546,1.8200353,6
-3.4892309,1.8985871,6
-3.6588829,1.9194683,6
-3.6452472,1.8731133,6
-3.545891,1.8383342,6
-3.6351955,1.8295021,6
-3.5626678,1.8435308,6
-3.5407465,1.9086417,6
-3.6610506,1.8917398,6
-3.6483989,1.8893311,6
-3.7500455,1.9122164,6
-3.714334,1.8782252,6
-3.7661145,1.9052516,6
-3.8002782,1.9012414,6
-3.6850853,1.9598564,6
-3.8097441,1.8796407,6
-3.7397168,1.8676814,6
-3.6935732,1.8634045,6
-3.8433375,1.8531886,6
-3.7556758,1.897198,6
-3.6868887,1.9487478,6
-3.7511127,1.9209161,6
-3.7797654,1.9376806,6
-3.8709867,1.8606014,6
-3.7432637,1.8655165,6
-3.8483484,1.8743278,6
-3.7740433,1.909322,6
-3.824708,1.9259934,6
-3.8872316,1.8953648,6
-3.8214343,1.838741,6
-3.785697,1.8609957,6
-3.8341215,1.9241621,6
-3.7807887,1.8380878,6
-3.7987301,1.8674597,6
-3.8144698,1.8155663,6
-3.9352894,1.9070861,6
-3.8145978,1.8228743,6
-3.8394032,1.824652,6
-3.8753664,1.7762749,6
-3.8329563,1.8001374,6
-3.8438227,1.6900604,6
-3.9689157,1.7844241,6
-3.9715655,1.7225136,6
-3.9045482,1.7900498,6
-4.021679,1.7182672,6
-4.02841,1.7184186,6
-3.968125,1.786935,6
-3.9188836,1.7950544,6
-3.8681824,1.81133,6
-3.9254715,1.7866899,6
-3.9085793,1.8475621,6
-3.9055822,1.8013192,6
-4.01379,1.769588,6
-4.0722203,1.7475029,6
-3.9402804,1.7655526,6
-3.9363513,1.8580382,6
-3.898193,1.7374674,6
-3.9281073,1.826892,6
-3.946543,1.8145068,6
-3.9017782,1.730758,6
-3.9635146,1.7817256,6
-4.014303,1.7662605,6
-3.935936,1.7573438,6
-3.9803476,1.7808001,6
-4.013752,1.7771691,6
